id,title,year,source,doi,db,se_area,se_task,cv_technique,platform,rationale,artifact_type,eval_method,challenges,reason
1547,Chouette: An Automated Cross-Platform UI Crawler for Improving App Quality,2023,2023 38th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),10.1109/ASEW60602.2023.00029,IEEE Xplore,Testing,Cross-platform UI crawling,Deep Learning / Neural Network; Template Matching / Feature Matching,Mobile,Ease of use,Full-interface,Accuracy metrics,"Generalization across platforms and screen resolutions; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Chouette: automated cross-platform UI crawler (ASE workshop)
2569,Context-Aware Bug Reproduction for Mobile Apps,2023,Proceedings of the 45th International Conference on Software Engineering,10.1109/icse48619.2023.00196,ACM DL,Testing,Context-aware bug reproduction,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Industrial evaluation,Device fragmentation across manufacturers and OS versions,Context-aware bug reproduction for mobile apps (ICSE)
223,DecompoVision: Reliability Analysis of Machine Vision Components through Decomposition and Reuse,2023,ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3611643.3616333,Scopus,Testing,Reliability analysis of CV components,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,DecompoVision: reliability analysis of machine vision components (FSE)
21,DeltaNN: Assessing the Impact of Computational Environment Parameters on the Performance of Image Recognition Models,2023,"Proceedings - 2023 IEEE International Conference on Software Maintenance and Evolution, ICSME 2023",10.1109/ICSME58846.2023.00054,Scopus,Testing,CV model performance impact assessment,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,DeltaNN: CV model performance impact of env parameters (ICSME)
2892,Efficiency Matters: Speeding Up Automated Testing with GUI Rendering Inference,2023,Proceedings of the 45th International Conference on Software Engineering,10.1109/ICSE48619.2023.00084,ACM DL,Testing,GUI rendering inference for test speedup,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,GUI rendering inference for automated testing speed-up (ICSE)
401,Engineering Accessible Software,2023,"Proceedings - 2023 IEEE International Conference on Software Maintenance and Evolution, ICSME 2023",10.1109/ICSME58846.2023.00079,Scopus,Testing,Accessible software engineering,Deep Learning / Neural Network; OCR,General,Context-driven,Full-interface,Accuracy metrics,"Low accuracy on stylized fonts, icons with embedded text; Language and locale variability; Diverse accessibility needs across user populations",Engineering accessible software via CV+HCI+SE (ICSME)
166,NEURAL-UML: Intelligent Recognition System of Structural Elements in UML Class Diagram,2023,"Proceedings - 2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2023",10.1109/MODELS-C59198.2023.00099,Scopus,Requirements,UML structural element recognition,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,NEURAL-UML: recognition of UML class diagram elements (MODELS)
352,Owl Eye: An AI-Driven Visual Testing Tool,2023,"5th Novel Intelligent and Leading Emerging Sciences Conference, NILES 2023 - Proceedings",10.1109/NILES59815.2023.10296575,Scopus,Testing,Visual testing tool,Deep Learning / Neural Network; Image Differencing,General,Context-driven,Full-interface,Accuracy metrics,"Requires large labeled training data; Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",Owl Eye: AI-driven visual testing tool
2558,PredART: Towards Automatic Oracle Prediction of Object Placements in Augmented Reality Testing,2023,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,10.1145/3551349.3561160,ACM DL,Testing,AR object placement oracle prediction,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,PredART: automatic oracle for AR object placement testing (ASE)
2552,"Read It, Don't Watch It: Captioning Bug Recordings Automatically",2023,Proceedings of the 45th International Conference on Software Engineering,10.1109/ICSE48619.2023.00197,ACM DL,Testing,Bug recording captioning,Deep Learning / Neural Network,General,Context-driven,Temporal,Accuracy metrics,Computational cost of video processing at scale; Synchronization of visual and interaction event streams,Read It Dont Watch It: captioning bug recordings (ICSE)
2347,Semantic Test Repair for Web Applications,2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3611643.3616324,ACM DL,Testing,Semantic web test repair,Deep Learning / Neural Network; Template Matching / Feature Matching,Web,Robustness,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Semantic test repair for web applications (FSE)
239,SpiderTailed: A Tool for Detecting Presentation Failures Using Screenshots and DOM Extraction,2023,Learning and Analytics in Intelligent Systems,10.1007/978-3-031-17583-1_4,Scopus,Testing,Presentation failure detection,Image Differencing; Color / Spatial Transformation,General,Context-driven,Full-interface,Accuracy metrics,"Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",SpiderTailed: detecting presentation failures via screenshots+DOM
64,Test Automation for Symbol Recognition on the Map; [Harita Üzerinde Sembol Tanima Için Test Otomasyonu],2023,"31st IEEE Conference on Signal Processing and Communications Applications, SIU 2023",10.1109/SIU59756.2023.10223831,Scopus,Testing,Map symbol recognition for testing,Deep Learning / Neural Network; Template Matching / Feature Matching,General,Context-driven,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Test automation for symbol recognition on map (CV for testing)
2443,The Metamorphosis: Automatic Detection of Scaling Issues for Mobile Apps,2023,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,10.1145/3551349.3556935,ACM DL,Testing,Mobile app scaling issue detection,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,Device fragmentation across manufacturers and OS versions,The Metamorphosis: detecting scaling issues for mobile apps (ASE)
2572,Too Much Accessibility is Harmful! Automated Detection and Analysis of Overly Accessible Elements in Mobile Apps,2023,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,10.1145/3551349.3560424,ACM DL,Testing,Overly accessible UI element detection,Deep Learning / Neural Network,Mobile,Context-driven,Localized,Accuracy metrics,Diverse accessibility needs across user populations; False negatives for non-obvious accessibility violations; Device and OS fragmentation,Too Much Accessibility: detecting overly accessible mobile UI elements (ASE)
393,Towards Understanding Machine Learning Testing in Practise,2023,"Proceedings - 2023 IEEE/ACM 2nd International Conference on AI Engineering - Software Engineering for AI, CAIN 2023",10.1109/CAIN58948.2023.00028,Scopus,Other,ML testing practices study,Other: Survey / empirical study,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Towards understanding ML testing in practice - CV systems (CAIN)
2804,Transforming Ideas into Code: Visual Sketching for ML Development,2023,"Companion Proceedings of the 2023 ACM SIGPLAN International Conference on Systems, Programming, Languages, and Applications: Software for Humanity",10.1145/3618305.3623588,ACM DL,Development,Visual sketching for ML development,Deep Learning / Neural Network,General,Context-driven,Natural input,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Transforming ideas into code: visual sketching for ML development
477,Translating Video Recordings of Complex Mobile App UI Gestures into Replayable Scenarios,2023,IEEE Transactions on Software Engineering,10.1109/TSE.2022.3192279,Scopus,Testing,Complex UI gesture test replayability,Deep Learning / Neural Network; Other: Video analysis,Mobile,Context-driven,Temporal,Accuracy metrics,Requires large labeled training data; Computational cost of video processing at scale; Synchronization of visual and interaction event streams,Translating video of mobile app UI gestures to replayable scenarios (TSE)
350,Visual Expertise in Code Reviews: Using Holistic Models of Image Perception to Analyze and Interpret Eye Movements,2023,Eye Tracking Research and Applications Symposium (ETRA),10.1145/3588015.3589189,Scopus,Maintenance,Visual expertise in code reviews,Deep Learning / Neural Network; Other: Eye-tracking,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Visual expertise in code reviews: eye movements analysis (ETRA)
1156,Visual Test Framework: Enhancing Software Test Automation with Visual Artificial Intelligence and Behavioral Driven Development,2023,"2023 IEEE 15th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",10.1109/HNICEM60674.2023.10589222,IEEE Xplore,Testing,Visual test automation framework,Deep Learning / Neural Network; Image Differencing,General,Context-driven,Full-interface,Accuracy metrics,"Requires large labeled training data; Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",Visual test framework with visual AI and BDD
2734,Widget Detection-Based Testing for Industrial Mobile Games,2023,Proceedings of the 45th International Conference on Software Engineering: Software Engineering in Practice,10.1109/icse-seip58684.2023.00021,ACM DL,Testing,Widget detection for industrial mobile game testing,Deep Learning / Neural Network,Mobile; Game,Context-driven,Localized,Industrial evaluation,Requires large labeled training data; Device and OS fragmentation; High visual complexity and dynamic game states,Widget detection-based testing for industrial mobile games (ICSE-SEIP)
2679,ATOM: Automated Black-Box Testing of Multi-Label Image Classification Systems,2024,Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,10.1109/ase56229.2023.00156,ACM DL,Testing,Multi-label image classification system testing,Deep Learning / Neural Network,General,Context-driven; Ease of use,Full-interface,Accuracy metrics,Requires large labeled training data,ATOM: automated black-box testing of image classification systems (ASE)
290,Adaptive attention fusion network for cross-device GUI element re-identification in crowdsourced testing,2024,Neurocomputing,10.1016/j.neucom.2024.127502,Scopus,Testing,Cross-device GUI element re-identification,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data; Generalization across platforms and screen resolutions,Adaptive attention for cross-device GUI element re-ID in crowdsourced testing
154,Algorithm for Mapping Layout Grids in User Interfaces: Automating the “Squint Test”,2024,Communications in Computer and Information Science,10.1007/978-3-031-50423-5_1,Scopus,Design,UI layout grid detection,Color / Spatial Transformation; Other: Layout grid detection,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Automating squint test: layout grid mapping in UIs
2401,Automated Fixing of Web UI Tests via Iterative Element Matching,2024,Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,10.1109/ase56229.2023.00048,ACM DL,Testing,Web UI test repair via element matching,Deep Learning / Neural Network; Template Matching / Feature Matching,Web,Robustness,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Automated fixing of web UI tests via iterative element matching (ASE)
199,Automated evaluation of game content display using deep learning,2024,ACM International Conference Proceeding Series,10.1145/3661167.3661184,Scopus,Testing,Game content display evaluation,Deep Learning / Neural Network,Game,Context-driven,Full-interface,Accuracy metrics,High visual complexity and dynamic game states,Automated evaluation of game content display using deep learning
454,Automating GUI-based Test Oracles for Mobile Apps,2024,"Proceedings - 2024 IEEE/ACM 21st International Conference on Mining Software Repositories, MSR 2024",10.1145/3643991.3644930,Scopus,Testing,GUI test oracle generation for mobile apps,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data; Device and OS fragmentation,Automating GUI-based test oracles for mobile apps (MSR)
2612,Beyond Manual Modeling: Automating GUI Model Generation Using Design Documents,2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,10.1145/3691620.3695032,ACM DL,Maintenance,GUI model generation from design documents,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Automating GUI model generation from design docs (ASE)
2204,Combining Neuroevolution with the Search for Novelty to Improve the Generation of Test Inputs for Games,2024,Proceedings of the 1st ACM International Workshop on Foundations of Applied Software Engineering for Games,10.1145/3663532.3664467,ACM DL,Testing,GUI test generation via neuroevolution,Deep Learning / Neural Network,Game,Context-driven; Robustness,Full-interface,Accuracy metrics,Requires large labeled training data; Fragility to GUI evolution and app updates; High visual complexity and dynamic game states,Neuroevolution + novelty for game test input generation (FSE workshop)
58,Computer Vision Intelligence Test Modeling and Generation: A Case Study on Smart OCR,2024,"Proceedings - 6th IEEE International Conference on Artificial Intelligence Testing, AITest 2024",10.1109/AITest62860.2024.00011,Scopus,Testing,CV intelligence test modeling,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,CV intelligence test modeling for smart OCR (AITest)
2213,Data Analysis Tools Affect Outcomes of Eye-Tracking Studies,2024,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,10.1145/3674805.3686672,ACM DL,Maintenance,Eye-tracking study methodology analysis,Other: Eye-tracking analysis,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Data analysis tools affect eye-tracking study outcomes (ESEM)
2370,DeepLSH: Deep Locality-Sensitive Hash Learning for Fast and Efficient Near-Duplicate Crash Report Detection,2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,10.1145/3597503.3639146,ACM DL,Maintenance,Near-duplicate GUI detection,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven,Localized,Accuracy metrics,Distinguishing near-duplicate from genuinely different reports,DeepLSH: near-duplicate crash report detection (ICSE)
286,Design-Implementation Discrepancy Analysis for Mobile Application Interfaces Using Object Detection Methods,2024,"2024 12th International Conference on Information and Education Technology, ICIET 2024",10.1109/ICIET60671.2024.10542829,Scopus,Maintenance,Design-implementation discrepancy detection,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,Device fragmentation across manufacturers and OS versions,Design-implementation discrepancy for mobile UIs via object detection
2685,EGFE: End-to-end Grouping of Fragmented Elements in UI Designs with Multimodal Learning,2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,10.1145/3597503.3623313,ACM DL,Design,UI fragmented element grouping,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,EGFE: end-to-end grouping of fragmented UI elements (ICSE)
299,"Effective, Platform-Independent GUI Testing via Image Embedding and Reinforcement Learning",2024,ACM Transactions on Software Engineering and Methodology,10.1145/3674728,Scopus,Testing,Platform-independent GUI testing,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven; Ease of use,Full-interface,Accuracy metrics,Requires large labeled training data; Generalization across platforms and screen resolutions,Platform-independent GUI testing via image embedding+RL (TOSEM)
2788,Enhancing GUI Exploration Coverage of Android Apps with Deep Link-Integrated Monkey,2024,ACM Trans. Softw. Eng. Methodol.,10.1145/3664810,ACM DL,Testing,Android app GUI exploration coverage,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,State explosion and incomplete GUI coverage; Device and OS fragmentation,Enhancing GUI exploration coverage of Android apps (TOSEM)
1355,Generating Minimalist Adversarial Perturbations to Test Object-Detection Models: An Adaptive Multi-Metric Evolutionary Search Approach,2024,"2024 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",10.1109/ICSTW60967.2024.00015,IEEE Xplore,Testing,Adversarial perturbation for object detection testing,Deep Learning / Neural Network,General,Robustness,Full-interface,Accuracy metrics,Requires large labeled training data; Fragility to GUI evolution and app updates,Adversarial perturbations to test object-detection models (ICST)
248,GuiEvo: Automated Evolution of Mobile Application GUIs,2024,"Proceedings - 2024 IEEE/ACM 21st International Conference on Mining Software Repositories, MSR 2024",10.1145/3643991.3644936,Scopus,Maintenance,Mobile GUI automated evolution,Deep Learning / Neural Network,Mobile,Context-driven; Robustness,Full-interface,Accuracy metrics,Fragility to GUI evolution and app updates; Device and OS fragmentation,GuiEvo: automated evolution of mobile app GUIs (MSR)
238,Image Processing-Enabled Validation for Robotic Test Automation: A Case Study on POS Devices; [Görüntü Işlemeyle Doǧrulamali Robotik Test Otomasyon Kullanimi: POS Cihazlari Üzerine Uygulama],2024,UBMK 2024 - Proceedings: 9th International Conference on Computer Science and Engineering,10.1109/UBMK63289.2024.10773486,Scopus,Testing,Robotic test automation validation,Deep Learning / Neural Network; Template Matching / Feature Matching,General,Context-driven,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Image processing for robotic test automation validation (POS devices)
478,Image-based communication on social coding platforms,2024,Journal of Software: Evolution and Process,10.1002/smr.2609,Scopus,Maintenance,Image-based communication on social coding,Other: Image analysis + NLP,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Image-based communication on social coding platforms (JSE&P)
2496,Improving Code Extraction from Coding Screencasts Using a Code-Aware Encoder-Decoder Model,2024,Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,10.1109/ase56229.2023.00184,ACM DL,Development,Code extraction from coding screencasts,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Improving code extraction from coding screencasts (ASE)
2719,Learning-based Widget Matching for Migrating GUI Test Cases,2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,10.1145/3597503.3623322,ACM DL,Testing,GUI test case migration,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven; Robustness,Localized,Accuracy metrics,Requires large labeled training data,Learning-based widget matching for GUI test case migration (ICSE)
264,Measuring Effectiveness of Metamorphic Relations for Image Processing Using Mutation Testing,2024,Journal of Imaging,10.3390/jimaging10040087,Scopus,Testing,Metamorphic testing of image processing,Other: Metamorphic testing,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Metamorphic relations effectiveness for image processing via mutation testing
453,Metamorphic Testing of Image Processing Applications: A General Framework and Optimization Strategies,2024,"MET 2024 - Proceedings of the 9th ACM International Workshop on Metamorphic Testing, Co-located with: ISSTA 2024",10.1145/3679006.3685070,Scopus,Testing,Metamorphic testing of image processing apps,Other: Metamorphic testing,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Metamorphic testing of image processing applications framework (MET)
2741,Mobile Bug Report Reproduction via Global Search on the App UI Model,2024,Proc. ACM Softw. Eng.,10.1145/3660824,ACM DL,Testing,Mobile bug report reproduction,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Industrial evaluation,Ambiguous or incomplete visual context in bug recordings; Mapping recorded actions to current GUI state; Device and OS fragmentation,Mobile bug report reproduction via global search on app UI model
2365,MotorEase: Automated Detection of Motor Impairment Accessibility Issues in Mobile App UIs,2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,10.1145/3597503.3639167,ACM DL,Testing,Motor impairment accessibility detection,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,Diverse accessibility needs across user populations; False negatives for non-obvious accessibility violations; Device and OS fragmentation,MotorEase: detecting motor impairment accessibility issues in mobile UIs (ICSE)
2245,Neat: Mobile App Layout Similarity Comparison Based on Graph Convolutional Networks,2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,10.1145/3663529.3663832,ACM DL,Design,Mobile app layout similarity comparison,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,Device fragmentation across manufacturers and OS versions,Mobile app layout similarity via graph convolutional networks (FSE companion)
1550,On Improving Management of Duplicate Video-Based Bug Reports,2024,2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),10.1145/3639478.3639786,IEEE Xplore,Testing,Duplicate video bug report management,Deep Learning / Neural Network; Other: Text+image fusion,General,Context-driven,Temporal,Accuracy metrics,Ambiguous or incomplete visual context in bug recordings; Mapping recorded actions to current GUI state; Distinguishing near-duplicate from genuinely different reports,On improving management of duplicate video-based bug reports (ICSE companion)
77,Optical Character Recognition Based-On System for Automated Software Testing,2024,"International Conference on Enterprise Information Systems, ICEIS - Proceedings",10.5220/0012740000003690,Scopus,Testing,OCR-based automated software testing,OCR,General,Context-driven,Full-interface,Accuracy metrics,"Low accuracy on stylized fonts, icons with embedded text; Language and locale variability",OCR-based system for automated software testing
397,Practical Non-Intrusive GUI Exploration Testing with Visual-based Robotic Arms,2024,Proceedings - International Conference on Software Engineering,10.1145/3597503.3639161,Scopus,Testing,Non-intrusive GUI exploration testing,Deep Learning / Neural Network; Template Matching / Feature Matching,General,Context-driven; Ease of use,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Non-intrusive GUI exploration with visual robotic arms (ICSE)
2272,RFNIT: Robotic Framework for Non-invasive Testing,2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,10.1145/3663529.3663871,ACM DL,Testing,Robotic non-invasive GUI testing,Deep Learning / Neural Network; Template Matching / Feature Matching,General,Context-driven,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",RFNIT: robotic framework for non-invasive testing (FSE companion)
3055,Semantic matching in GUI test reuse,2024,Empirical Software Engineering,10.1007/s10664-023-10406-8,Springer,Testing,GUI test reuse via semantic matching,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,Semantic matching in GUI test reuse (ESE)
2619,Semi-supervised Crowdsourced Test Report Clustering via Screenshot-Text Binding Rules,2024,Proc. ACM Softw. Eng.,10.1145/3660776,ACM DL,Testing,Crowdsourced test report clustering,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,Semi-supervised crowdsourced test report clustering via screenshot-text binding
2292,Synthesis-Based Enhancement for GUI Test Case Migration,2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3650212.3680327,ACM DL,Testing,GUI test case migration,Deep Learning / Neural Network; Template Matching / Feature Matching,General,Context-driven; Robustness,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Synthesis-based enhancement for GUI test case migration (ISSTA)
2223,Towards Automatic Oracle Prediction for AR Testing: Assessing Virtual Object Placement Quality under Real-World Scenes,2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3650212.3680315,ACM DL,Testing,AR object placement oracle prediction,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,Towards automatic oracle for AR testing: virtual object placement (ISSTA)
2300,VRDSynth: Synthesizing Programs for Multilingual Visually Rich Document Information Extraction,2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3650212.3680314,ACM DL,Maintenance,Visually rich document information extraction,Deep Learning / Neural Network; OCR,General,Context-driven,Full-interface,Accuracy metrics,"Low accuracy on stylized fonts, icons with embedded text; Language and locale variability",VRDSynth: programs for visually rich document info extraction (ISSTA)
2718,Vision-Based Widget Mapping for Test Migration across Mobile Platforms: Are We There Yet?,2024,Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,10.1109/ase56229.2023.00068,ACM DL,Testing,Vision-based widget mapping for test migration,Deep Learning / Neural Network; Template Matching / Feature Matching,Mobile,Context-driven; Robustness,Localized,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Vision-based widget mapping for test migration across platforms (ASE)
2215,A compatibility test method for Android applications based on multimodal large models in crowdsourcing scenarios,2025,Proceedings of the 2025 5th International Conference on Computer Network Security and Software Engineering,10.1145/3732365.3732402,ACM DL,Testing,Android app compatibility testing,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data; Device and OS fragmentation,Compatibility test for Android apps with multimodal models in crowdsourcing
90,Artificial intelligence for context-aware visual change detection in software test automation,2025,Progress in Artificial Intelligence,10.1007/s13748-025-00408-6,Scopus,Testing,Visual change detection in software testing,Deep Learning / Neural Network; Image Differencing,General,Context-driven; Robustness,Full-interface,Accuracy metrics,"Requires large labeled training data; Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",AI for visual change detection in software test automation
1395,AutoTestUI-Automated Test Case Generation from UI Screenshots,2025,"2025 9th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",10.1109/ICECA66444.2025.11383091,IEEE Xplore,Testing,Test case generation from UI screenshots,Deep Learning / Neural Network; OCR,Desktop,Context-driven,Full-interface,Accuracy metrics,"Requires large labeled training data; Low accuracy on stylized fonts, icons with embedded text; Language and locale variability",AutoTestUI: test case generation from UI screenshots
344,Automated Webpage Generation from Hand-Drawn Mockups Using ResNet-50 and Deep Learning,2025,"2025 International Conference on Data Science and Business Systems, ICDSBS 2025",10.1109/ICDSBS63635.2025.11031253,Scopus,Development,Webpage generation from hand-drawn mockups,Deep Learning / Neural Network,Web,Context-driven,Natural input,Accuracy metrics,Dynamic web content and cross-browser rendering differences,Automated webpage generation from hand-drawn mockups (ResNet-50)
421,"Comparison of Claude (Sonnet and Opus) and ChatGPT (GPT-4, GPT-4o, GPT-o1) in Analyzing Educational Image-Based Questions from Block-Based Programming Assessments",2025,"2025 13th International Conference on Information and Education Technology, ICIET 2025",10.1109/ICIET66371.2025.11046263,Scopus,Testing,LLM comparison for GUI analysis,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,LLMs analyzing image-based programming assessment questions
2303,DeclarUI: Bridging Design and Development with Automated Declarative UI Code Generation,2025,Proc. ACM Softw. Eng.,10.1145/3715726,ACM DL,Development,Declarative UI code generation,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Handling complex layout hierarchies and custom widgets; Generated code quality and maintainability,DeclarUI: automated declarative UI code generation (PACMSE)
2502,DesignRepair: Dual-Stream Design Guideline-Aware Frontend Repair with Large Language Models,2025,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,10.1109/ICSE55347.2025.00109,ACM DL,Testing,Frontend repair guided by design guidelines,Deep Learning / Neural Network,General,Context-driven; Robustness,Full-interface,Accuracy metrics,Requires large labeled training data; Subjectivity in design quality assessment,DesignRepair: design guideline-aware frontend repair with LLMs (ICSE)
2840,Detecting Outdated Screenshot from GUI Document,2025,ACM Trans. Softw. Eng. Methodol.,10.1145/3750041,ACM DL,Maintenance,Outdated screenshot detection,Deep Learning / Neural Network; Image Differencing,General,Context-driven,Full-interface,Accuracy metrics,"Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",Detecting outdated screenshots from GUI documentation (TOSEM)
470,Development of a Software Prototype for Assisting People with Quadriplegia: An Approach Based on Interface Analysis and Computer Vision,2025,Communications in Computer and Information Science,10.1007/978-3-031-75147-9_2,Scopus,Testing,Assistive interface analysis for quadriplegia,Deep Learning / Neural Network; Color / Spatial Transformation,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Software for quadriplegia assistance: interface analysis + CV
2523,Divide-and-Conquer: Generating UI Code from Screenshots,2025,Proc. ACM Softw. Eng.,10.1145/3729364,ACM DL,Development,UI code generation from screenshots,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Handling complex layout hierarchies and custom widgets; Generated code quality and maintainability,Divide-and-Conquer: generating UI code from screenshots (PACMSE)
11,Exploiting Vision-Language Models in GUI Reuse,2025,"Proceedings - 2025 IEEE/ACM 22nd International Conference on Software and Systems Reuse, ICSR 2025",10.1109/ICSR66718.2025.00009,Scopus,Maintenance,GUI reuse via VLM,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,Exploiting vision-language models in GUI reuse (ICSR)
